Date,Open,High,Low,Close,Volume,MA_7_Day,MA_20_Day,MA_50_Day,Daily_Return_Pct,Volatility_7Day,Price_Range,Volume_7Day_Avg,Stock
2024-04-18,1452.75,1475.08,1448.63,1453.57,19005692,1459.38,1453.86,1454.89,-0.0,0.01,26.45,11627401.71,RELIANCE.NS
2024-04-19,1446.07,1463.17,1432.42,1459.32,15741778,1457.13,1455.38,1455.14,0.0,0.01,30.75,12682353.14,RELIANCE.NS
2024-04-22,1461.63,1471.93,1457.02,1468.98,10350362,1459.43,1458.09,1455.95,0.01,0.01,14.91,13150774.29,RELIANCE.NS
2024-04-23,1468.13,1482.53,1444.86,1448.6,14605554,1456.56,1458.86,1456.57,-0.01,0.01,37.67,13931806.29,RELIANCE.NS
2024-04-24,1452.75,1457.76,1438.85,1439.52,10462776,1454.15,1458.82,1456.73,-0.01,0.01,18.91,13204915.43,RELIANCE.NS
2024-04-25,1431.9,1457.19,1430.91,1449.25,15943926,1453.46,1459.07,1456.93,0.01,0.01,26.28,13639467.43,RELIANCE.NS
2024-04-26,1453.19,1454.24,1439.35,1441.88,9413848,1451.59,1459.61,1456.77,-0.01,0.01,14.89,13646276.57,RELIANCE.NS
2024-04-29,1439.35,1457.12,1439.35,1454.26,7247974,1451.69,1458.23,1457.02,0.01,0.01,17.77,11966602.57,RELIANCE.NS
2024-04-30,1457.21,1472.18,1452.13,1456.22,11474262,1451.24,1457.3,1457.06,0.0,0.01,20.05,11356957.43,RELIANCE.NS
2024-05-02,1461.19,1466.47,1453.37,1455.78,14512646,1449.36,1456.39,1456.76,-0.0,0.01,13.1,11951569.43,RELIANCE.NS
2024-05-03,1460.19,1464.11,1405.75,1423.46,17226958,1445.77,1453.76,1456.03,-0.02,0.01,58.37,12326055.71,RELIANCE.NS
2024-05-06,1424.95,1429.42,1407.58,1409.1,7394208,1441.42,1451.18,1455.22,-0.01,0.01,21.84,11887688.86,RELIANCE.NS
2024-05-07,1405.57,1410.31,1381.77,1391.18,14517472,1433.12,1448.13,1453.78,-0.01,0.01,28.54,11683909.71,RELIANCE.NS
2024-05-08,1387.23,1422.42,1387.23,1408.13,9439002,1428.3,1446.07,1452.74,0.01,0.01,35.19,11687503.14,RELIANCE.NS
2024-05-09,1402.62,1413.29,1379.79,1383.88,11009612,1418.25,1441.51,1451.28,-0.02,0.01,33.5,12224880.0,RELIANCE.NS
2024-05-10,1386.49,1399.64,1377.88,1397.08,10505096,1409.8,1438.72,1449.8,0.01,0.01,21.76,12086427.71,RELIANCE.NS
2024-05-13,1389.61,1396.64,1373.83,1392.39,8456620,1400.75,1434.9,1448.0,-0.0,0.01,22.81,11221281.14,RELIANCE.NS
2024-05-14,1390.68,1416.59,1389.74,1409.64,7188300,1398.77,1432.56,1446.66,0.01,0.01,26.85,9787187.14,RELIANCE.NS
2024-05-15,1410.06,1419.47,1402.64,1405.87,5046534,1398.31,1430.15,1445.28,-0.0,0.01,16.83,9451805.14,RELIANCE.NS
2024-05-16,1408.13,1417.01,1387.75,1414.88,14711774,1401.7,1428.15,1444.68,0.01,0.01,29.26,9479562.57,RELIANCE.NS
2024-05-17,1412.59,1426.64,1402.87,1425.15,10916476,1404.13,1426.73,1444.18,0.01,0.01,23.77,9690630.29,RELIANCE.NS
2024-05-21,1415.13,1431.23,1415.13,1425.57,11176128,1410.08,1425.04,1443.07,0.0,0.01,16.11,9714418.29,RELIANCE.NS
2024-05-22,1425.72,1457.98,1425.72,1449.92,10281604,1417.63,1424.09,1442.14,0.02,0.01,32.26,9682490.86,RELIANCE.NS
2024-05-23,1447.83,1481.26,1444.31,1475.13,14608260,1429.45,1425.41,1441.86,0.02,0.01,36.95,10561296.57,RELIANCE.NS
2024-05-24,1472.72,1477.56,1465.25,1469.37,7094776,1437.99,1426.91,1441.41,-0.0,0.01,12.31,10547936.0,RELIANCE.NS
2024-05-27,1469.35,1473.99,1450.81,1455.48,6629010,1445.07,1427.22,1441.16,-0.01,0.01,23.18,10774004.0,RELIANCE.NS
2024-05-28,1457.21,1467.64,1442.08,1445.5,7820162,1449.45,1427.4,1440.95,-0.01,0.01,25.56,9789488.0,RELIANCE.NS
2024-05-29,1435.87,1447.29,1427.88,1430.19,7383556,1450.17,1426.2,1440.27,-0.01,0.01,19.41,9284785.14,RELIANCE.NS
2024-05-30,1424.95,1429.82,1409.67,1414.38,13206858,1448.57,1424.1,1440.12,-0.01,0.01,20.15,9574889.43,RELIANCE.NS
2024-05-31,1420.78,1431.65,1411.8,1419.89,31069832,1444.28,1422.31,1440.1,0.0,0.01,19.85,12544636.29,RELIANCE.NS
2024-06-03,1472.1,1503.37,1448.28,1499.23,21527942,1447.72,1426.1,1441.93,0.06,0.02,55.09,13533162.29,RELIANCE.NS
2024-06-04,1487.04,1487.04,1349.31,1387.01,36709098,1435.95,1424.99,1441.09,-0.07,0.04,137.73,17763779.71,RELIANCE.NS
2024-06-05,1411.55,1420.64,1373.93,1410.31,17464890,1429.5,1425.95,1441.0,0.02,0.04,46.7,19311762.57,RELIANCE.NS
2024-06-06,1424.46,1433.09,1410.91,1421.08,17855722,1426.01,1426.6,1440.76,0.01,0.04,22.19,20745414.0,RELIANCE.NS
2024-06-07,1418.0,1461.19,1416.02,1459.15,18558696,1430.15,1430.36,1441.14,0.03,0.04,45.17,22341862.57,RELIANCE.NS
2024-06-10,1459.15,1482.38,1457.29,1460.59,9251760,1436.75,1433.54,1441.46,0.0,0.04,25.09,21776848.57,RELIANCE.NS
2024-06-11,1458.21,1462.85,1443.99,1445.97,11774902,1440.48,1436.22,1441.76,-0.01,0.04,18.86,19020430.0,RELIANCE.NS
2024-06-12,1446.79,1465.16,1444.48,1452.57,10081742,1433.81,1438.36,1441.17,0.0,0.03,20.67,17385258.57,RELIANCE.NS
2024-06-13,1461.19,1461.43,1449.37,1454.48,9181160,1443.45,1440.79,1440.77,0.0,0.01,12.06,13452696.0,RELIANCE.NS
2024-06-14,1459.2,1468.8,1446.52,1466.69,8157998,1451.51,1443.38,1440.62,0.01,0.01,22.29,12123140.0,RELIANCE.NS
2024-06-18,1476.42,1476.47,1460.54,1470.14,7196766,1458.52,1445.63,1440.5,0.0,0.01,15.93,10600432.0,RELIANCE.NS
2024-06-19,1476.57,1476.57,1445.3,1447.93,8725874,1456.91,1446.75,1440.25,-0.02,0.01,31.27,9195743.14,RELIANCE.NS
2024-06-20,1448.28,1471.96,1439.45,1462.87,16113776,1457.24,1447.4,1440.46,0.01,0.01,32.51,10176031.14,RELIANCE.NS
2024-06-21,1462.8,1463.87,1429.99,1443.52,31170360,1456.89,1445.82,1440.34,-0.01,0.01,33.87,12946810.86,RELIANCE.NS
2024-06-24,1434.9,1438.85,1426.94,1430.88,8878386,1453.79,1443.89,1439.46,-0.01,0.01,11.91,12774902.86,RELIANCE.NS
2024-06-25,1432.4,1445.23,1430.41,1443.47,7045386,1452.22,1443.29,1439.27,0.01,0.01,14.82,12469792.29,RELIANCE.NS
2024-06-26,1435.43,1507.81,1434.51,1502.9,22014882,1457.39,1446.16,1439.96,0.04,0.02,73.31,14449347.14,RELIANCE.NS
2024-06-27,1502.63,1526.2,1494.94,1519.31,28383030,1464.41,1450.62,1441.21,0.01,0.02,31.27,17475956.29,RELIANCE.NS
2024-06-28,1519.78,1569.38,1519.78,1553.9,28957336,1479.55,1457.6,1443.21,0.02,0.02,49.61,20366165.14,RELIANCE.NS
2024-07-01,1551.05,1567.8,1544.25,1548.69,7724306,1491.81,1464.04,1445.09,-0.0,0.02,23.55,19167669.43,RELIANCE.NS
2024-07-02,1557.97,1561.94,1545.56,1553.68,7749246,1507.55,1466.76,1447.09,0.0,0.02,16.38,15821796.0,RELIANCE.NS
2024-07-03,1554.82,1563.43,1531.44,1541.02,9049620,1523.28,1474.46,1448.72,-0.01,0.02,31.99,15846258.0,RELIANCE.NS
2024-07-04,1545.56,1555.98,1539.41,1542.61,6837176,1537.44,1481.07,1450.19,0.0,0.02,16.58,15816513.71,RELIANCE.NS
2024-07-05,1542.41,1586.76,1536.63,1576.95,12269710,1548.02,1488.87,1452.76,0.02,0.01,50.13,14424346.29,RELIANCE.NS
2024-07-08,1577.33,1596.98,1570.9,1589.14,9500806,1558.0,1495.37,1455.75,0.01,0.01,26.08,11726885.71,RELIANCE.NS
2024-07-09,1585.86,1588.74,1568.89,1578.59,6960002,1561.52,1501.27,1458.34,-0.01,0.01,19.85,8584409.43,RELIANCE.NS
2024-07-10,1583.28,1585.76,1551.67,1572.59,7134578,1564.94,1507.6,1460.95,-0.0,0.01,34.1,8500162.57,RELIANCE.NS
2024-07-11,1575.84,1592.46,1558.96,1569.04,11940946,1567.13,1513.42,1463.25,-0.0,0.01,33.5,9098976.86,RELIANCE.NS
2024-07-12,1572.86,1593.36,1562.93,1584.99,12924784,1573.42,1519.95,1465.83,0.01,0.01,30.42,9652571.71,RELIANCE.NS
2024-07-15,1592.66,1594.05,1573.85,1585.49,5329688,1579.54,1525.89,1468.42,0.0,0.01,20.2,9437216.29,RELIANCE.NS
